id,programme,stress,sleep_hours,exam_score
1,Psychology,8.46,6.17,83.5
2,Psychology,1.05,7.11,98.9
3,Business,18.60,6.49,54.6
4,Psychology,2.68,6.10,69.0
5,Business,19.81,6.71,78.7
6,Psychology,1.09,6.02,82.7
7,Psychology,6.94,4.56,67.5
8,Psychology,10.24,6.18,95.1
9,Psychology,4.88,7.99,83.4
10,Business,0.05,8.47,71.5
11,Business,1.30,7.01,62.4
12,Psychology,19.37,6.45,77.1
13,Business,25.34,6.86,64.1
14,Psychology,14.86,7.12,68.9
15,Psychology,24.99,5.32,83.8
16,Business,7.86,5.99,72.1
17,Business,7.13,4.58,64.6
18,Business,10.26,7.10,77.8
19,Psychology,11.58,7.44,72.5
20,Business,26.12,4.91,67.4
21,Psychology,23.53,4.69,49.4
22,Business,12.49,6.81,61.1
23,Psychology,10.23,6.26,76.6
24,Business,8.98,7.60,62.2
25,Business,25.56,5.99,70.6
26,Psychology,33.52,6.46,57.5
27,Business,20.83,5.58,68.7
28,Business,14.35,5.86,79.9
29,Psychology,37.36,4.50,58.9
30,Business,3.70,8.81,89.3
31,Psychology,23.97,6.95,85.5
32,Business,4.40,8.01,80.1
33,Business,1.02,7.31,83.1
34,Business,39.30,6.83,79.4
35,Business,7.14,7.56,91.3
36,Business,6.02,6.89,71.7
37,Psychology,2.26,6.64,77.6
38,Business,11.10,7.87,60.1
39,Business,15.22,5.91,80.9
40,Psychology,7.84,5.12,75.0
41,Psychology,22.59,6.09,67.2
42,Business,17.06,4.17,66.5
43,Psychology,13.30,7.76,76.7
44,Business,9.68,5.27,59.6
45,Psychology,16.73,6.89,78.0
46,Business,6.12,6.16,91.7
47,Psychology,14.40,5.92,65.1
48,Business,8.69,5.95,79.8
49,Business,9.47,7.19,68.8
50,Business,3.95,8.32,88.5
51,Psychology,22.56,6.49,55.8
52,Business,24.20,7.37,71.9
53,Business,12.36,7.15,43.7
54,Psychology,5.85,4.13,58.9
55,Business,0.73,7.32,84.4
56,Psychology,13.68,7.46,57.2
57,Psychology,40.00,6.53,54.4
58,Psychology,3.35,5.99,81.9
59,Business,12.20,7.20,81.9
60,Business,8.55,8.80,68.5
61,Psychology,18.53,6.45,70.3
62,Business,0.17,7.56,68.4
63,Business,37.72,4.56,72.0
64,Psychology,10.09,7.48,68.7
65,Psychology,5.63,8.00,91.7
66,Business,1.27,7.24,66.9
67,Business,1.30,7.35,76.6
68,Psychology,21.41,6.80,69.9
69,Business,12.77,7.24,90.9
70,Psychology,26.96,8.54,58.4
71,Psychology,34.16,6.90,81.9
72,Psychology,6.68,6.83,79.1
73,Psychology,14.73,6.22,74.6
74,Psychology,13.60,8.54,68.1
75,Business,17.11,6.59,70.6
76,Psychology,2.36,7.78,93.5
77,Psychology,7.56,7.56,64.0
78,Business,15.22,7.31,78.5
79,Psychology,17.49,5.34,62.5
80,Business,0.13,6.39,79.7
81,Business,11.85,6.31,80.9
82,Business,2.89,7.79,70.0
83,Psychology,1.34,8.00,77.7
84,Psychology,12.37,5.22,90.9
85,Business,19.96,7.30,79.7
86,Business,12.39,7.02,67.9
87,Business,25.94,7.26,80.5
88,Psychology,0.81,8.65,100.0
89,Psychology,4.00,5.89,73.5
90,Business,2.06,7.59,88.8
91,Business,40.00,7.57,69.3
92,Psychology,21.54,6.10,69.3
93,Business,13.72,8.90,70.7
94,Business,38.54,3.00,36.0
95,Psychology,12.37,7.61,74.3
96,Psychology,5.28,4.79,72.2
97,Psychology,8.22,4.60,44.1
98,Psychology,33.78,5.77,74.0
99,Business,0.31,7.22,78.7
100,Psychology,8.18,8.24,81.2
101,Psychology,2.28,7.14,76.9
102,Business,4.52,7.23,73.0
103,Business,20.74,6.45,77.1
104,Psychology,34.96,5.48,47.7
105,Business,0.79,6.17,80.1
106,Business,40.00,6.46,70.9
107,Psychology,11.76,7.84,63.5
108,Psychology,16.28,6.55,71.6
109,Business,0.04,7.33,91.4
110,Psychology,23.17,6.24,50.4
111,Business,10.95,7.87,71.9
112,Psychology,25.93,5.85,67.4
113,Business,14.81,7.90,75.0
114,Business,12.00,6.84,67.0
115,Business,10.47,5.90,96.0
116,Business,40.00,5.63,71.6
117,Business,36.16,6.54,64.4
118,Psychology,6.63,5.33,69.5
119,Psychology,2.00,7.37,74.6
120,Psychology,29.34,4.78,43.9
121,Psychology,7.04,8.47,86.7
122,Psychology,8.23,5.85,95.7
123,Business,12.35,6.30,57.2
124,Business,25.19,7.94,79.5
125,Business,15.99,6.78,72.8
126,Psychology,8.31,5.83,89.6
127,Business,1.58,7.67,88.6
128,Business,0.40,7.90,82.3
129,Business,0.61,8.21,77.7
130,Psychology,0.80,7.27,61.7
131,Psychology,19.67,6.76,79.1
132,Business,10.77,6.61,53.6
133,Psychology,16.52,8.80,68.4
134,Psychology,11.67,7.45,60.0
135,Psychology,4.17,5.97,57.5
136,Psychology,26.87,6.58,65.3
137,Business,8.48,4.19,67.8
138,Psychology,2.02,7.64,73.8
139,Psychology,13.31,6.43,83.6
140,Business,4.17,6.45,74.0
141,Business,27.93,6.63,64.4
142,Psychology,1.80,7.62,80.0
143,Psychology,1.46,7.44,97.8
144,Business,40.00,7.01,41.0
145,Business,5.67,4.16,52.4
146,Business,2.20,7.15,76.4
147,Business,27.16,6.87,61.0
148,Psychology,3.91,7.98,62.7
149,Business,6.99,9.62,83.8
150,Psychology,8.62,7.76,79.7
151,Psychology,11.81,6.92,83.0
152,Psychology,0.11,7.65,84.7
153,Business,23.99,4.53,60.2
154,Business,2.56,8.23,68.4
155,Business,12.27,7.00,65.5
156,Psychology,12.07,7.20,89.9
157,Business,13.56,5.82,85.3
158,Business,6.64,6.78,55.4
159,Business,7.07,8.26,58.1
160,Business,12.45,6.23,75.1
161,Business,4.69,8.55,85.6
162,Psychology,12.66,7.27,70.6
163,Business,19.87,7.03,58.7
164,Business,8.41,8.75,80.8
165,Psychology,1.58,7.80,55.5
166,Psychology,6.31,5.85,77.5
167,Psychology,1.43,7.33,91.4
168,Psychology,17.13,6.41,74.0
169,Business,24.42,7.36,59.9
170,Business,5.13,5.91,68.3
171,Business,6.80,7.96,81.2
172,Business,3.73,8.60,52.8
173,Psychology,8.72,7.07,79.5
174,Psychology,10.12,5.30,63.5
175,Business,5.44,6.93,74.3
176,Psychology,3.73,8.25,71.8
177,Business,40.00,6.03,73.2
178,Business,4.84,7.06,67.5
179,Business,4.44,6.13,71.1
180,Business,23.41,6.81,65.8
181,Business,10.52,7.27,77.9
182,Business,3.22,7.42,80.9
183,Business,5.83,7.07,73.5
184,Business,0.94,6.82,77.7
185,Business,1.75,5.94,87.5
186,Business,1.82,6.66,77.5
187,Business,5.01,5.96,89.8
188,Business,40.00,6.10,48.8
189,Business,5.82,6.65,91.5
190,Business,0.70,4.84,75.4
191,Psychology,4.74,6.73,67.6
192,Business,9.70,6.95,62.4
193,Business,0.23,6.61,89.7
194,Psychology,2.79,8.60,98.7
195,Psychology,15.25,6.42,68.1
196,Business,9.99,5.41,57.9
197,Business,8.05,7.34,88.8
198,Business,10.60,9.08,88.8
199,Psychology,0.68,6.62,83.7
200,Business,9.31,5.89,59.8
201,Business,2.03,6.64,90.6
202,Psychology,16.01,6.52,58.3
203,Business,8.24,6.25,70.4
204,Business,6.45,5.51,51.9
205,Business,21.22,4.37,52.0
206,Psychology,20.39,7.07,72.8
207,Psychology,3.49,7.45,78.3
208,Psychology,10.36,5.91,95.0
209,Business,7.75,4.76,67.7
210,Business,18.38,5.70,68.7
211,Business,0.33,8.13,72.8
212,Business,10.45,7.49,96.1
213,Business,10.50,5.79,75.9
214,Psychology,6.22,7.06,79.6
215,Psychology,26.36,6.37,57.7
216,Business,12.09,7.19,70.7
217,Psychology,14.49,6.36,57.0
218,Psychology,8.76,7.44,89.1
219,Psychology,3.15,7.32,92.6
220,Business,3.79,8.00,90.2
221,Business,8.09,8.87,79.9
222,Business,1.44,9.52,85.2
223,Business,2.81,5.98,77.7
224,Business,5.71,7.76,88.6
225,Business,5.46,5.70,85.9
226,Psychology,22.01,5.05,59.5
227,Business,23.76,5.75,87.3
228,Psychology,1.65,7.35,78.4
229,Psychology,8.21,8.01,76.4
230,Psychology,4.15,6.34,77.4
231,Business,10.73,5.65,67.2
232,Psychology,7.20,7.42,96.6
233,Business,2.16,5.70,84.0
234,Psychology,11.74,6.68,78.4
235,Business,7.00,6.84,76.7
236,Psychology,0.21,6.81,66.0
237,Business,2.99,6.14,86.0
238,Business,7.35,7.94,50.8
239,Psychology,6.86,7.13,56.2
240,Business,3.33,8.06,76.2
241,Business,4.09,7.20,77.7
242,Psychology,40.00,3.89,40.0
243,Psychology,31.88,5.61,53.7
244,Psychology,18.10,7.07,80.4
245,Psychology,13.78,5.39,61.7
246,Business,21.63,6.99,76.2
247,Business,9.26,7.22,79.0
248,Business,13.71,6.97,59.5
249,Psychology,6.16,6.71,60.5
250,Business,5.23,8.12,91.2
