employee_id,department,site,remote,tenure_years,workload,autonomy,training,mentoring,wellbeing,engagement_t1,engagement_t2,performance,left_company
1,Sales,Apeldoorn,No,5.1,6.56,5.66,No,No,44.2,48.6,51.7,57.0,0
2,Sales,Zwolle,Yes,3.5,3.83,5.26,Yes,No,57.8,59.4,63.2,65.0,0
3,Sales,Enschede,No,2.1,8.61,6.30,No,No,31.3,59.9,59.4,58.9,0
4,Sales,Zwolle,Yes,5.8,8.82,5.43,Yes,No,41.1,44.6,45.1,45.9,0
5,Sales,Deventer,Yes,0.6,3.68,4.23,Yes,No,55.6,54.4,54.9,62.5,0
6,Sales,Zwolle,No,0.3,7.62,6.31,Yes,Yes,44.1,65.2,70.6,54.3,0
7,Sales,Almelo,Yes,1.7,6.74,6.60,Yes,No,56.4,60.0,59.6,50.8,0
8,Sales,Apeldoorn,No,7.7,5.79,5.93,No,Yes,44.1,54.5,57.4,61.2,0
9,Sales,Deventer,Yes,0.4,6.01,3.67,Yes,No,44.7,62.9,65.9,52.3,0
10,Sales,Enschede,Yes,4.4,7.11,4.84,Yes,No,54.1,67.9,68.2,58.8,0
11,Sales,Zwolle,No,9.9,5.85,6.74,No,No,49.4,44.4,45.3,71.3,0
12,Sales,Almelo,No,6.8,6.78,5.30,Yes,Yes,48.4,57.3,58.4,48.9,0
13,Sales,Enschede,No,0.2,6.50,4.67,No,No,36.3,56.2,58.4,57.8,1
14,Sales,Enschede,Yes,6.4,5.72,5.79,Yes,No,51.1,43.7,50.5,52.6,0
15,Sales,Deventer,No,10.9,6.06,4.63,Yes,No,41.7,61.8,68.5,58.9,0
16,Sales,Zwolle,No,3.5,6.13,3.84,Yes,Yes,42.1,50.1,50.4,49.0,0
17,Sales,Hengelo,No,1.4,4.37,3.66,No,No,42.3,51.8,53.4,60.9,1
18,Sales,Apeldoorn,No,3.7,5.88,5.29,Yes,Yes,44.1,52.0,53.7,59.6,0
19,Sales,Enschede,Yes,1.3,7.41,7.28,No,Yes,50.2,44.9,50.4,57.6,0
20,Sales,Deventer,No,3.7,7.45,5.96,Yes,Yes,47.1,62.0,69.2,54.6,1
21,Sales,Enschede,Yes,4.8,7.65,5.19,Yes,No,43.6,78.1,75.6,62.7,0
22,Sales,Almelo,No,3.6,5.99,9.33,No,Yes,52.6,56.2,60.3,69.6,1
23,Sales,Deventer,No,2.9,7.11,2.77,Yes,No,36.9,55.6,51.7,43.7,0
24,Sales,Deventer,Yes,1.5,5.20,4.22,Yes,No,50.2,51.3,51.1,40.0,1
25,Sales,Almelo,No,14.4,5.09,5.22,No,Yes,47.0,52.1,52.7,53.5,0
26,Sales,Apeldoorn,No,12.9,8.24,3.68,No,Yes,41.2,53.9,57.2,58.2,0
27,Sales,Almelo,No,3.5,6.51,4.11,Yes,Yes,44.0,58.3,59.5,51.3,0
28,Sales,Zwolle,No,6.6,4.23,5.71,Yes,No,55.3,59.8,59.6,60.7,0
29,Sales,Deventer,No,8.2,5.07,5.70,Yes,Yes,51.6,54.3,52.7,53.6,0
30,Sales,Apeldoorn,No,6.3,6.14,6.13,Yes,Yes,43.1,51.5,53.9,51.9,0
31,Sales,Hengelo,No,1.8,6.24,6.84,Yes,Yes,44.4,60.9,64.2,75.1,0
32,Sales,Hengelo,No,5.2,7.47,7.03,Yes,Yes,43.4,57.7,59.4,64.4,0
33,Sales,Enschede,Yes,1.6,4.46,7.56,Yes,Yes,49.9,59.7,60.2,58.7,0
34,Sales,Zwolle,Yes,2.0,7.96,6.09,Yes,No,49.3,63.1,65.9,61.7,0
35,Sales,Deventer,No,2.3,6.66,4.51,No,Yes,37.7,54.9,55.9,63.5,1
36,Sales,Hengelo,Yes,7.9,3.63,6.13,Yes,Yes,64.8,56.8,55.0,60.4,0
37,Sales,Enschede,Yes,3.1,6.07,6.20,No,Yes,46.5,51.3,51.8,57.0,0
38,Sales,Enschede,No,6.6,8.55,3.19,Yes,Yes,42.9,59.0,66.5,54.3,0
39,Sales,Enschede,Yes,2.2,6.96,6.43,No,Yes,49.1,55.8,58.2,49.9,0
40,Sales,Deventer,No,23.6,7.55,4.76,Yes,Yes,52.7,67.0,70.0,67.1,0
41,Sales,Enschede,No,4.5,6.13,5.63,Yes,No,40.2,48.9,50.2,41.2,0
42,Sales,Enschede,No,1.7,5.49,6.71,Yes,No,50.0,54.6,58.3,60.5,0
43,Sales,Enschede,No,6.9,8.22,4.59,No,No,31.2,38.3,37.1,55.1,1
44,Sales,Deventer,No,1.5,6.47,3.90,No,Yes,39.1,46.6,49.7,47.1,0
45,Sales,Deventer,Yes,2.1,5.18,8.45,No,No,57.7,63.7,59.4,67.4,0
46,Sales,Enschede,Yes,3.1,7.12,5.17,No,Yes,48.8,63.5,67.9,64.0,0
47,Sales,Apeldoorn,No,8.0,5.02,5.89,No,No,45.0,62.1,61.1,57.3,0
48,Sales,Zwolle,Yes,0.2,7.34,4.06,No,No,33.6,48.8,48.6,41.3,1
49,Sales,Deventer,No,1.9,6.56,3.63,Yes,Yes,37.3,74.3,79.6,65.4,1
50,Sales,Deventer,No,0.6,6.69,5.09,Yes,No,39.6,55.0,57.7,67.7,1
51,Sales,Deventer,No,2.7,6.42,4.12,No,No,42.0,59.0,55.3,60.5,0
52,Sales,Enschede,Yes,2.9,5.32,4.90,Yes,Yes,51.1,70.2,72.9,65.0,1
53,Sales,Apeldoorn,Yes,2.2,5.81,4.15,Yes,No,40.7,46.0,47.7,50.0,0
54,Sales,Apeldoorn,No,1.0,6.94,6.90,No,No,47.4,65.9,71.7,60.9,0
55,Sales,Apeldoorn,Yes,3.8,5.50,5.03,Yes,No,48.0,64.3,66.2,59.0,0
56,Sales,Almelo,No,26.9,7.08,5.31,No,Yes,54.1,50.4,58.4,52.1,0
